timestamp_ms,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
53093,15.90,-50.70,-8.47,-54.45,-68.40,0.97,-76.80,-73.50,97.28,-8.10,-98.70,47.19
53952,16.95,-51.30,-7.74,-53.85,-69.30,0.97,-75.15,-74.40,97.53,-4.35,-96.75,46.71
54806,18.75,-52.05,-7.26,-52.20,-69.45,2.18,-74.25,-75.00,97.53,-3.60,-101.55,41.62
55660,18.45,-51.60,-6.78,-52.50,-69.30,1.69,-73.95,-75.00,97.53,-4.65,-102.30,41.62
56519,18.15,-51.60,-7.02,-52.80,-69.00,1.69,-74.40,-74.55,97.53,-4.35,-101.70,41.38
57373,18.30,-51.45,-7.26,-53.10,-69.30,1.94,-74.40,-74.55,97.53,-4.35,-101.40,42.83
58227,18.00,-51.45,-7.26,-53.25,-68.70,1.94,-74.55,-74.55,97.28,-5.10,-101.40,42.11
59086,16.80,-51.00,-7.74,-54.75,-67.95,1.21,-76.65,-73.35,98.49,-9.00,-100.50,40.90
59940,16.35,-50.70,-7.99,-54.45,-68.85,0.73,-75.30,-73.20,98.25,-9.60,-99.45,39.93
60794,16.65,-51.30,-8.23,-54.30,-69.45,0.00,-75.45,-73.95,98.01,-9.60,-99.75,39.45
61653,16.95,-52.05,-7.99,-54.45,-69.60,0.73,-75.75,-73.95,97.28,-9.75,-99.30,38.96
62507,16.80,-51.60,-8.23,-54.45,-69.75,0.48,-75.60,-74.10,96.80,-9.45,-99.30,39.69
63361,16.50,-51.45,-7.50,-54.15,-69.90,0.97,-75.30,-73.95,97.28,-9.45,-99.45,39.45
64220,16.35,-51.75,-8.23,-54.60,-69.45,1.45,-75.60,-73.65,97.28,-9.60,-98.85,38.24
65074,16.20,-51.00,-8.47,-55.05,-68.55,0.73,-77.55,-71.85,98.25,-9.75,-99.15,39.93
65928,17.85,-52.05,-7.50,-55.20,-73.05,-0.24,-73.80,-77.70,95.35,-9.30,-99.90,38.72
66787,19.95,-52.65,-6.78,-52.80,-74.40,-0.73,-77.55,-86.70,91.96,-8.10,-100.35,38.72
67641,21.00,-52.80,-7.74,-52.05,-74.70,-0.97,-74.85,-88.05,91.72,-7.95,-100.05,37.99
68495,21.45,-52.95,-7.50,-52.05,-74.70,-0.48,-76.05,-86.55,91.48,-7.80,-100.65,37.75
69354,19.05,-51.15,-8.23,-54.75,-69.75,0.00,-82.35,-75.90,97.77,-10.50,-99.15,38.72
70208,16.95,-50.70,-8.95,-55.05,-69.30,0.00,-82.20,-75.15,97.28,-9.90,-98.85,38.72
71062,17.25,-50.55,-8.95,-55.05,-69.00,0.00,-81.90,-74.55,97.53,-10.50,-98.70,39.45
71921,16.35,-50.70,-8.23,-55.50,-68.25,0.24,-81.90,-75.00,97.04,-9.90,-98.85,38.72
72775,17.10,-50.25,-8.47,-54.90,-68.25,-0.24,-81.75,-74.85,97.28,-10.20,-98.55,38.48
73629,16.80,-51.15,-8.71,-55.35,-68.70,0.73,-81.00,-74.85,96.80,-10.05,-98.70,39.20
