timestamp_ms,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
438143,3.90,-18.60,-5.81,-56.10,-29.85,-2.90,-53.85,-40.35,119.55,15.90,-84.45,-28.07
439002,3.90,-19.50,-7.26,-56.25,-30.00,-2.42,-54.00,-39.90,119.55,16.20,-84.15,-27.59
439856,0.30,-18.30,-6.29,-56.55,-30.30,-3.15,-54.45,-40.05,119.31,16.05,-83.85,-27.35
440710,-0.15,-20.10,-6.05,-56.25,-30.45,-2.66,-54.45,-40.20,119.31,16.20,-84.00,-27.59
441569,0.00,-19.35,-4.84,-56.55,-30.00,-2.90,-54.45,-40.20,119.06,16.35,-84.45,-27.83
442423,0.00,-19.05,-4.11,-56.85,-29.85,-3.39,-54.45,-39.90,119.55,16.05,-84.15,-27.83
443277,-0.30,-19.65,-5.32,-56.70,-30.00,-3.15,-54.60,-40.35,119.31,15.90,-84.30,-28.07
444136,1.65,-19.95,-6.05,-59.55,-30.45,-0.24,-54.75,-40.05,120.03,16.80,-84.30,-27.35
444990,2.40,-20.55,-6.78,-59.40,-28.80,1.94,-55.05,-40.35,121.48,16.35,-84.45,-27.59
445844,2.85,-20.40,-7.02,-60.00,-28.80,2.18,-55.05,-40.65,120.27,16.50,-84.30,-27.59
446703,2.85,-20.70,-7.50,-59.40,-28.95,1.69,-55.05,-40.35,120.76,16.95,-84.60,-28.07
447557,3.15,-20.55,-7.02,-59.70,-28.35,1.69,-55.20,-40.35,120.52,16.35,-84.00,-27.10
448411,2.70,-20.10,-7.02,-59.85,-28.65,1.69,-54.60,-40.65,120.52,16.50,-84.30,-28.56
449270,3.45,-20.55,-6.78,-58.80,-30.15,-4.84,-54.90,-40.50,120.03,16.65,-84.15,-27.35
450124,2.85,-18.75,-6.78,-56.10,-29.55,-2.42,-58.65,-40.35,126.81,26.25,-66.30,-34.12
450978,2.70,-19.50,-7.26,-49.35,-30.75,-0.97,-55.65,-34.65,122.45,16.80,-71.25,-42.11
451837,3.15,-19.50,-7.02,-48.90,-30.90,-0.48,-52.50,-39.45,122.45,17.25,-69.90,-40.66
452691,3.45,-19.35,-6.78,-48.90,-30.90,-0.73,-53.10,-39.90,121.97,17.70,-70.35,-41.14
453545,3.45,-19.65,-6.29,-48.90,-30.00,-0.73,-52.95,-39.00,122.45,17.70,-69.15,-39.93
454404,3.00,-19.20,-7.26,-48.90,-32.10,-3.15,-54.45,-40.50,130.44,19.35,-82.50,-37.75
455258,3.60,-20.40,-6.78,-55.05,-33.45,-2.90,-53.55,-40.05,128.50,19.20,-83.85,-36.30
456112,3.75,-20.10,-7.02,-55.50,-32.85,-2.66,-53.70,-39.75,128.50,18.90,-84.30,-35.09
456971,3.75,-20.25,-7.02,-55.35,-32.85,-3.39,-53.10,-39.90,127.05,18.60,-84.45,-35.33
457825,4.05,-20.25,-6.53,-55.50,-32.40,-3.63,-53.40,-40.20,126.81,19.05,-84.90,-33.64
458679,3.75,-20.10,-6.78,-55.50,-32.70,-3.15,-53.55,-39.90,127.05,18.30,-84.60,-34.61
