timestamp_ms,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
84756,23.55,-39.75,-3.39,-52.35,-74.25,3.39,-77.85,-73.05,99.95,-22.50,-88.50,-5.08
85610,24.60,-37.80,-3.15,-52.80,-73.80,3.63,-78.60,-73.35,99.70,-22.95,-88.35,-5.08
86464,25.05,-38.10,-3.87,-52.35,-73.65,4.11,-78.45,-73.65,99.46,-22.95,-88.95,-5.81
87323,25.65,-36.75,-3.15,-52.65,-73.35,3.15,-78.30,-73.20,99.95,-22.65,-89.10,-6.05
88177,25.35,-38.25,-4.11,-52.35,-73.80,3.15,-78.60,-73.50,99.95,-23.25,-89.25,-7.02
89031,25.20,-37.80,-2.66,-52.50,-73.65,3.87,-78.45,-73.20,99.70,-22.65,-88.50,-6.05
89890,24.75,-38.40,-3.39,-52.50,-73.35,3.87,-78.60,-73.35,99.46,-23.10,-88.80,-6.05
90744,24.00,-39.15,-3.39,-52.05,-73.20,3.63,-78.60,-73.50,99.46,-23.55,-89.70,-6.78
91598,24.90,-37.05,-2.90,-52.35,-71.70,4.84,-80.55,-75.45,101.40,-23.55,-92.10,1.94
92457,19.20,-46.95,-4.60,-49.80,-70.05,10.89,-79.20,-76.35,97.28,-21.00,-94.20,2.18
93311,19.20,-53.40,-7.74,-46.65,-67.95,10.41,-78.00,-78.45,96.07,-19.65,-92.70,2.66
94165,19.50,-51.75,-7.02,-48.00,-68.70,9.68,-78.00,-77.70,96.80,-20.10,-92.85,2.66
95024,19.35,-51.00,-6.78,-48.15,-68.85,9.68,-78.75,-78.00,96.80,-20.10,-93.00,4.60
95878,19.35,-50.10,-6.78,-47.55,-68.10,9.92,-78.00,-78.15,97.28,-19.80,-93.15,4.11
96732,19.65,-50.10,-7.02,-47.70,-68.40,9.92,-78.30,-78.30,96.32,-19.35,-92.40,4.60
97591,19.95,-50.40,-6.53,-48.00,-68.10,11.13,-78.30,-78.75,96.56,-19.50,-92.40,3.63
98445,19.35,-50.85,-7.02,-47.85,-68.10,9.20,-78.15,-78.15,96.32,-19.50,-93.30,6.29
99299,19.05,-51.75,-6.53,-47.25,-67.05,8.23,-78.15,-78.60,96.07,-19.65,-91.05,7.02
100158,18.90,-52.80,-4.84,-47.25,-67.65,8.95,-78.15,-77.10,96.32,-18.75,-90.75,7.50
101012,18.75,-54.30,-6.29,-47.70,-67.50,9.68,-78.00,-76.80,96.80,-19.50,-95.10,11.86
101866,18.00,-53.25,-6.53,-49.05,-68.25,7.02,-81.30,-74.10,101.64,-21.90,-99.30,26.86
102725,17.55,-48.60,-6.53,-52.95,-68.70,4.36,-81.75,-74.85,101.40,-22.05,-99.15,26.38
103579,16.80,-48.75,-7.26,-52.65,-68.70,3.87,-81.45,-74.70,100.91,-22.05,-98.85,26.38
104433,16.95,-48.60,-6.53,-52.50,-68.25,3.87,-81.15,-74.85,100.91,-21.75,-98.55,26.38
105292,16.95,-48.75,-7.02,-53.10,-68.70,3.39,-80.70,-74.55,100.43,-21.75,-98.70,26.62
106146,17.25,-48.75,-6.78,-53.25,-68.40,3.63,-80.40,-74.55,100.67,-21.60,-98.40,26.62
107000,17.10,-48.60,-7.02,-53.25,-67.95,3.39,-80.25,-74.70,100.43,-21.90,-98.25,26.38
107859,17.25,-48.90,-6.78,-53.10,-68.25,4.11,-80.25,-74.70,100.43,-21.60,-97.80,26.62
